Cluster,Cluster 1,,,,Cluster 2,,,,Cluster 3,,,
Sensor ,s1,s2,s3,s4,s1,s2,s3,s4,s1,s2,s3,s4
Palavra-guia,mais,menos,mais,menos,mais,menos,menos,mais,mais,menos,mais,menos
Desvio,15,15,15,15,20,20,20,20,18,18,18,18
