sample,FM1_LBP,FM2_LBP,FM3_LBP
0,0.0008776606593756107,0.12,0.12
1,0.0008776606593756107,0.12,0.12
2,0.0008776606593756107,0.12,0.12
3,0.0008776606593756107,0.12,0.12
4,0.0008776606593756107,0.12,0.12
5,0.0008776606593756107,0.12,0.12
6,0.0008776606593756107,0.12,0.12
7,0.0008776606593756107,0.12,0.12
8,0.0008776606593756107,0.12,0.12
9,0.0008776606593756107,0.12,0.12
10,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
11,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
12,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
13,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
14,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
15,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
16,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
17,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
18,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
19,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
20,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
21,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
22,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
23,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
24,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
25,0.07013181210624204,0.12471939876985401,0.01617011533190716
26,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
27,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
28,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
29,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
30,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
31,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
32,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
33,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
34,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
35,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
36,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
37,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
38,0.07013181210624204,0.12471939876985401,0.01617011533190716
39,0.9431404403536967,0.5411807293248421,0.4921177659586358
40,0.9431404403536967,0.5411807293248421,0.4921177659586358
41,0.9431404403536967,0.5411807293248421,0.4921177659586358
42,0.9431404403536967,0.5411807293248421,0.4921177659586358
43,0.9431404403536967,0.5411807293248421,0.4921177659586358
44,0.9431404403536967,0.5411807293248421,0.4921177659586358
45,0.9431404403536967,0.5411807293248421,0.4921177659586358
46,0.9431404403536967,0.5411807293248421,0.4921177659586358
47,0.9431404403536967,0.5411807293248421,0.4921177659586358
48,0.0016895369771645179,0.9897379293934705,0.12832329556647204
49,0.0016895369771645179,0.9897379293934705,0.12832329556647204
50,0.0016895369771645179,0.9897379293934705,0.12832329556647204
51,1.8065258790473904e-05,0.010582895114710552,0.9224468533467195
52,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
53,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
54,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
55,0.9986490095661187,0.001739581538119837,0.0015818735781468489
56,0.9986490095661187,0.001739581538119837,0.0015818735781468489
57,0.9431404403536967,0.5411807293248421,0.4921177659586358
58,0.9431404403536967,0.5411807293248421,0.4921177659586358
59,0.9431404403536967,0.5411807293248421,0.4921177659586358
60,0.9431404403536967,0.5411807293248421,0.4921177659586358
61,0.9431404403536967,0.5411807293248421,0.4921177659586358
62,0.9431404403536967,0.5411807293248421,0.4921177659586358
63,0.9431404403536967,0.5411807293248421,0.4921177659586358
64,0.0016895369771645179,0.9897379293934705,0.12832329556647204
65,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
66,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
67,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
68,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
69,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
70,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
71,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
72,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
73,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
74,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
75,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
76,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
77,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
78,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
79,8.88678758264212e-06,1.5803926858695175e-05,0.0013774693554285055
